,round_epochs,loss,val_loss,nr_layers,hidden_layer_size,activation,dropout,lr,average_train_loss,average_test_loss
52,100,33.29617612221303,31.51938594963812,3,16,ReLU(),0.1,0.001,34.19601547380405,32.309998413612476
67,100,35.09928921343692,33.836498329928496,3,32,LeakyReLU(negative_slope=0.01),0.05,0.001,36.322706523802744,34.12201105348587
49,100,35.473825431372504,34.46865382563618,3,16,ReLU(),0.05,0.001,36.35225120406953,35.13603182678712
61,100,36.550794455248784,35.56290443611153,3,32,ReLU(),0.05,0.001,37.712780564607414,35.99742477316049
37,100,38.49911970254484,35.59019041863972,2,128,ReLU(),0.05,0.001,39.56328041333455,36.47166090170904
43,100,40.66719986469732,37.416021236876645,2,128,LeakyReLU(negative_slope=0.01),0.05,0.001,40.86890736074562,38.028070065124204
31,100,41.1855257346686,38.54164119478741,2,64,LeakyReLU(negative_slope=0.01),0.05,0.001,41.7207524371191,38.5513740316484
76,100,45.54336682975116,43.82331410829806,3,64,ReLU(),0.1,0.001,46.28976968217698,43.922277668089826
7,100,47.62801286824473,45.59873052313992,2,16,LeakyReLU(negative_slope=0.01),0.05,0.001,46.757822913351326,44.17374595258622
1,100,48.67205584126894,47.35157834050326,2,16,ReLU(),0.05,0.001,49.13889641222161,47.1445209630564
41,100,63.13738856606141,61.27603102888475,2,128,ReLU(),0.1,0.0001,63.66431997205149,62.01272918784628
89,100,63.42357646049183,63.11834948248063,3,128,ReLU(),0.1,0.0001,64.27151270815367,63.48987453601097
26,100,64.29149062976781,63.11405461479018,2,64,ReLU(),0.05,0.0001,65.08379527834244,64.14796131836658
47,100,67.45313257125426,65.93748140816162,2,128,LeakyReLU(negative_slope=0.01),0.1,0.0001,67.43466148261419,66.5079243967328
80,100,66.87230531681813,67.94197999583089,3,64,LeakyReLU(negative_slope=0.01),0.05,0.0001,67.95271851472232,68.00927494349855
86,100,69.09956511827627,69.57766851168896,3,128,ReLU(),0.05,0.0001,69.60872805689316,69.55563297817724
38,100,70.56094730775033,70.18605470003106,2,128,ReLU(),0.05,0.0001,70.8896593750357,70.58352144331417
134,100,69.878145491514,70.12071727044146,4,128,ReLU(),0.05,0.0001,70.451176939169,70.65395270608389
74,100,71.99478951411463,72.45260108705007,3,64,ReLU(),0.05,0.0001,72.39541443576356,72.52587370248146
92,100,73.52970173233226,73.88890682206676,3,128,LeakyReLU(negative_slope=0.01),0.05,0.0001,73.95042713341901,74.08748696309398
44,100,73.7988696468724,74.80352902592162,2,128,LeakyReLU(negative_slope=0.01),0.05,0.0001,73.9794150390887,74.08835188438314
32,100,74.41200591645791,73.45109246505741,2,64,LeakyReLU(negative_slope=0.01),0.05,0.0001,74.22101529356267,74.35702714629912
95,100,74.40302792391851,75.10005812598158,3,128,LeakyReLU(negative_slope=0.01),0.1,0.0001,74.74310872157295,74.91059685431071
20,100,74.60222508913444,74.00531565943032,2,32,LeakyReLU(negative_slope=0.01),0.05,0.0001,74.86054616646413,75.10956211479396
62,100,75.6680999837872,76.26961804635664,3,32,ReLU(),0.05,0.0001,75.86413686469581,76.10920449124741
17,100,76.37906337817225,76.19672803038425,2,32,ReLU(),0.1,0.0001,76.06501384488483,76.21539659195014
35,100,76.59133210173266,76.44294088243271,2,64,LeakyReLU(negative_slope=0.01),0.1,0.0001,76.41536074212573,76.69432962768252
59,100,76.62216112955363,77.03901531948753,3,16,LeakyReLU(negative_slope=0.01),0.1,0.0001,76.72401192597124,76.96624874729508
23,100,77.25861479291221,77.30063319468712,2,32,LeakyReLU(negative_slope=0.01),0.1,0.0001,77.4003636091501,77.6193739054505
110,100,77.25372974974272,77.23880076500218,4,32,ReLU(),0.05,0.0001,77.50684162816174,77.70027669580843
140,100,77.74110455647836,78.09872837317434,4,128,LeakyReLU(negative_slope=0.01),0.05,0.0001,77.87799982137808,78.15021045167458
83,100,78.08655706145029,78.49623720020715,3,64,LeakyReLU(negative_slope=0.01),0.1,0.0001,77.96087743549147,78.20963988450322
14,100,78.71635920176075,78.51522371622272,2,32,ReLU(),0.05,0.0001,78.04754737948679,78.38735727395343
113,100,78.55404359507011,78.76648925386336,4,32,ReLU(),0.1,0.0001,78.53196088050723,78.74979855045541
29,100,78.33717950972992,78.99698704480622,2,64,ReLU(),0.1,0.0001,78.56787459378552,78.7770418559431
77,100,78.45419152428369,78.48964871039647,3,64,ReLU(),0.1,0.0001,78.6250628454902,78.79564450445737
11,100,79.47683949619585,79.0877986387415,2,16,LeakyReLU(negative_slope=0.01),0.1,0.0001,78.96441464079138,79.15181266619742
65,100,79.03421729931368,78.95048534480846,3,32,ReLU(),0.1,0.0001,78.9296386140688,79.19332147372836
107,100,79.31966036087246,79.53030422912006,4,16,LeakyReLU(negative_slope=0.01),0.1,0.0001,79.31729904173062,79.57951734031582
131,100,79.79366573139167,80.15508542821702,4,64,LeakyReLU(negative_slope=0.01),0.1,0.0001,79.9331368193375,80.17554867167118
53,100,80.12989835991894,80.36304520646262,3,16,ReLU(),0.1,0.0001,80.0032109295492,80.27038002306509
56,100,79.81830832346994,80.56968687361415,3,16,LeakyReLU(negative_slope=0.01),0.05,0.0001,80.15566842504012,80.39686409500636
50,100,79.88446662475033,80.62762432672822,3,16,ReLU(),0.05,0.0001,80.18395522532161,80.4099994551874
104,100,80.18967877838656,80.37176737001703,4,16,LeakyReLU(negative_slope=0.01),0.05,0.0001,80.24160699663445,80.50992834289814
125,100,80.39372264155587,80.71578688195711,4,64,ReLU(),0.1,0.0001,80.46765999909472,80.71162129026062
71,100,80.4328111287765,80.44032270531007,3,32,LeakyReLU(negative_slope=0.01),0.1,0.0001,80.51686619708073,80.83605206966762
137,100,80.86710343604918,81.21797237440308,4,128,ReLU(),0.1,0.0001,80.91630284808755,81.16513555917948
128,100,81.19386696757353,81.48459809657484,4,64,LeakyReLU(negative_slope=0.01),0.05,0.0001,81.30637574119125,81.56070491099298
143,100,81.4990513376857,81.67634910965963,4,128,LeakyReLU(negative_slope=0.01),0.1,0.0001,81.59821393835378,81.83928326328008
119,100,81.6373840618398,81.946376096563,4,32,LeakyReLU(negative_slope=0.01),0.1,0.0001,81.62699895255399,81.87293660514635
122,100,81.76445799278092,82.3808216024495,4,64,ReLU(),0.05,0.0001,81.9428441118728,82.20802519295566
8,100,82.52749230032617,82.2942818704288,2,16,LeakyReLU(negative_slope=0.01),0.05,0.0001,82.25760727597832,82.59956946923003
101,100,82.532761500778,82.71945276975502,4,16,ReLU(),0.1,0.0001,82.7296856815969,82.93621064407773
98,100,82.83511987872299,83.25532643102942,4,16,ReLU(),0.05,0.0001,82.88588938460771,83.18197053683947
5,100,84.5052421189879,84.7282067677907,2,16,ReLU(),0.1,0.0001,84.09044970555824,84.08481140387934
116,100,83.81113690330697,84.06979248693112,4,32,LeakyReLU(negative_slope=0.01),0.05,0.0001,83.89241259144724,84.14231089348408
2,100,84.64302854177492,84.26855767992215,2,16,ReLU(),0.05,0.0001,84.91631432572716,84.99666099922553
68,100,85.66166111427059,85.38967969982701,3,32,LeakyReLU(negative_slope=0.01),0.05,0.0001,85.6323131140854,85.85879327252856
